zone,year2013,year2014,year2015,year2016,delta
Public Reserved,"19,452","18,261","18,076","18,136",-7%
East End Reserved,"2,908","2,248","1,824","1,629",-43%
Value Reserved,"2,453","2,132","1,660","1,498",-39%
,,,,,
